Date  /    Time	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	Layer7	Layer8	Layer9	Layer10	Layer11	Layer12	Layer13	Layer14	Average	Minimun	Maximum	
04/11/2019 00:00	19.75	19.84	19.90	19.94	19.96	19.98	19.99	19.99	20.00	20.00	20.00	20.00	20.00	20.00	19.95	19.75	20.00	
04/11/2019 01:00	19.65	19.72	19.80	19.86	19.90	19.93	19.95	19.97	19.98	19.99	19.99	19.99	20.00	20.00	19.91	19.65	20.00	
04/11/2019 02:00	19.61	19.65	19.71	19.77	19.82	19.87	19.90	19.93	19.95	19.96	19.98	19.98	19.99	19.99	19.87	19.61	19.99	
04/11/2019 03:00	19.59	19.60	19.64	19.70	19.75	19.80	19.85	19.88	19.91	19.93	19.95	19.96	19.97	19.98	19.82	19.59	19.98	
04/11/2019 04:00	19.58	19.57	19.60	19.64	19.69	19.74	19.79	19.83	19.86	19.89	19.91	19.93	19.95	19.96	19.78	19.57	19.96	
04/11/2019 05:00	19.58	19.55	19.57	19.60	19.64	19.69	19.73	19.77	19.81	19.84	19.87	19.90	19.92	19.94	19.74	19.55	19.94	
04/11/2019 06:00	19.58	19.54	19.55	19.57	19.60	19.64	19.68	19.72	19.76	19.80	19.83	19.86	19.88	19.91	19.71	19.54	19.91	
04/11/2019 07:00	19.59	19.54	19.54	19.55	19.58	19.61	19.64	19.68	19.72	19.75	19.79	19.82	19.84	19.87	19.68	19.54	19.87	
04/11/2019 08:00	19.60	19.54	19.53	19.54	19.56	19.58	19.61	19.64	19.68	19.71	19.74	19.78	19.81	19.83	19.65	19.53	19.83	
04/11/2019 09:00	19.61	19.54	19.53	19.53	19.54	19.56	19.58	19.61	19.64	19.67	19.70	19.74	19.77	19.80	19.63	19.53	19.80	
04/11/2019 10:00	19.62	19.55	19.53	19.53	19.53	19.55	19.56	19.59	19.61	19.64	19.67	19.70	19.73	19.76	19.61	19.53	19.76	
