Date  /    Time	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	Layer7	Layer8	Layer9	Layer10	Layer11	Layer12	Layer13	Layer14	Average	Minimun	Maximum	
04/11/2019 00:00	19.72	19.81	19.87	19.91	19.94	19.96	19.97	19.98	19.99	19.99	19.99	20.00	20.00	20.00	19.94	19.72	20.00	
04/11/2019 01:00	19.62	19.68	19.74	19.80	19.85	19.89	19.91	19.94	19.95	19.97	19.98	19.98	19.99	19.99	19.88	19.62	19.99	
04/11/2019 02:00	19.59	19.61	19.66	19.71	19.76	19.80	19.84	19.87	19.90	19.92	19.94	19.95	19.97	19.97	19.82	19.59	19.97	
04/11/2019 03:00	19.58	19.57	19.60	19.64	19.68	19.73	19.77	19.81	19.84	19.87	19.89	19.91	19.93	19.95	19.77	19.57	19.95	
04/11/2019 04:00	19.58	19.55	19.56	19.59	19.63	19.66	19.70	19.74	19.78	19.81	19.84	19.86	19.89	19.91	19.72	19.55	19.91	
04/11/2019 05:00	19.58	19.54	19.54	19.56	19.58	19.62	19.65	19.68	19.72	19.75	19.78	19.81	19.84	19.86	19.68	19.54	19.86	
04/11/2019 06:00	19.59	19.54	19.53	19.54	19.56	19.58	19.61	19.64	19.67	19.70	19.73	19.76	19.79	19.82	19.65	19.53	19.82	
04/11/2019 07:00	19.60	19.54	19.53	19.53	19.54	19.55	19.58	19.60	19.63	19.65	19.68	19.71	19.74	19.77	19.62	19.53	19.77	
04/11/2019 08:00	19.61	19.54	19.53	19.52	19.53	19.54	19.55	19.57	19.59	19.62	19.64	19.67	19.70	19.72	19.60	19.52	19.72	
04/11/2019 09:00	19.63	19.55	19.53	19.52	19.52	19.53	19.54	19.55	19.57	19.59	19.61	19.63	19.66	19.68	19.58	19.52	19.68	
04/11/2019 10:00	19.64	19.56	19.54	19.53	19.52	19.52	19.53	19.54	19.55	19.57	19.58	19.60	19.63	19.65	19.57	19.52	19.65	
04/11/2019 11:00	19.66	19.56	19.54	19.53	19.53	19.52	19.53	19.53	19.54	19.55	19.56	19.58	19.60	19.62	19.56	19.52	19.66	
04/11/2019 12:00	19.68	19.58	19.55	19.54	19.53	19.53	19.53	19.53	19.53	19.54	19.55	19.56	19.58	19.59	19.56	19.53	19.68	
04/11/2019 13:00	19.70	19.60	19.57	19.55	19.54	19.53	19.53	19.53	19.53	19.53	19.54	19.55	19.56	19.57	19.56	19.53	19.70	
04/11/2019 14:00	19.71	19.62	19.59	19.57	19.55	19.54	19.54	19.53	19.53	19.53	19.53	19.54	19.55	19.56	19.56	19.53	19.71	
04/11/2019 15:00	19.72	19.65	19.61	19.59	19.57	19.56	19.55	19.54	19.54	19.53	19.53	19.53	19.54	19.55	19.57	19.53	19.72	
04/11/2019 16:00	19.73	19.69	19.65	19.62	19.60	19.58	19.57	19.55	19.55	19.54	19.54	19.53	19.54	19.54	19.59	19.53	19.73	
04/11/2019 17:00	19.62	19.71	19.68	19.65	19.63	19.61	19.59	19.57	19.56	19.55	19.54	19.54	19.54	19.54	19.59	19.54	19.71	
04/11/2019 18:00	19.49	19.69	19.68	19.66	19.64	19.63	19.61	19.59	19.58	19.57	19.56	19.55	19.54	19.54	19.59	19.49	19.69	
04/11/2019 19:00	19.36	19.65	19.65	19.65	19.65	19.64	19.62	19.61	19.60	19.58	19.57	19.56	19.55	19.55	19.59	19.36	19.65	
04/11/2019 20:00	19.27	19.62	19.63	19.63	19.63	19.63	19.63	19.62	19.61	19.60	19.59	19.58	19.57	19.56	19.58	19.27	19.63	
04/11/2019 21:00	19.22	19.59	19.60	19.61	19.62	19.62	19.62	19.62	19.62	19.61	19.60	19.59	19.58	19.57	19.58	19.22	19.62	
04/11/2019 22:00	19.16	19.56	19.57	19.58	19.59	19.60	19.61	19.61	19.61	19.61	19.60	19.60	19.59	19.58	19.56	19.16	19.61	
04/11/2019 23:00	19.11	19.53	19.55	19.56	19.57	19.58	19.59	19.60	19.60	19.61	19.61	19.60	19.60	19.59	19.55	19.11	19.61	
04/12/2019 00:00	19.06	19.51	19.53	19.54	19.55	19.56	19.57	19.58	19.59	19.60	19.60	19.60	19.60	19.59	19.53	19.06	19.60	
04/12/2019 01:00	19.02	19.48	19.51	19.52	19.53	19.54	19.55	19.56	19.57	19.58	19.59	19.59	19.59	19.59	19.52	19.02	19.59	
04/12/2019 02:00	18.97	19.47	19.49	19.50	19.51	19.52	19.53	19.54	19.56	19.57	19.57	19.58	19.59	19.59	19.50	18.97	19.59	
04/12/2019 03:00	18.93	19.45	19.48	19.48	19.49	19.50	19.51	19.53	19.54	19.55	19.56	19.57	19.58	19.58	19.48	18.93	19.58	
04/12/2019 04:00	18.91	19.44	19.47	19.47	19.48	19.49	19.50	19.51	19.52	19.53	19.54	19.55	19.56	19.57	19.47	18.91	19.57	
04/12/2019 05:00	18.88	19.42	19.46	19.46	19.46	19.47	19.48	19.49	19.50	19.51	19.53	19.54	19.55	19.56	19.45	18.88	19.56	
04/12/2019 06:00	18.86	19.41	19.45	19.45	19.45	19.46	19.47	19.48	19.49	19.50	19.51	19.52	19.53	19.54	19.44	18.86	19.54	
04/12/2019 07:00	18.86	19.41	19.45	19.45	19.45	19.45	19.46	19.47	19.47	19.48	19.49	19.50	19.52	19.53	19.43	18.86	19.53	
04/12/2019 08:00	18.84	19.40	19.44	19.44	19.44	19.44	19.45	19.45	19.46	19.47	19.48	19.49	19.50	19.51	19.42	18.84	19.51	
04/12/2019 09:00	18.82	19.39	19.44	19.44	19.44	19.44	19.44	19.45	19.45	19.46	19.47	19.48	19.49	19.50	19.41	18.82	19.50	
04/12/2019 10:00	18.80	19.38	19.44	19.43	19.43	19.43	19.43	19.44	19.44	19.45	19.46	19.47	19.47	19.48	19.40	18.80	19.48	
04/12/2019 11:00	18.78	19.38	19.43	19.43	19.43	19.43	19.43	19.43	19.44	19.44	19.45	19.46	19.46	19.47	19.39	18.78	19.47	
04/12/2019 12:00	18.75	19.37	19.44	19.43	19.43	19.43	19.43	19.43	19.43	19.44	19.44	19.45	19.45	19.46	19.38	18.75	19.46	
04/12/2019 13:00	18.72	19.37	19.44	19.43	19.43	19.43	19.42	19.43	19.43	19.43	19.43	19.44	19.45	19.45	19.38	18.72	19.45	
04/12/2019 14:00	18.67	19.37	19.44	19.44	19.43	19.43	19.42	19.42	19.42	19.43	19.43	19.43	19.44	19.44	19.37	18.67	19.44	
04/12/2019 15:00	18.63	19.37	19.45	19.44	19.43	19.43	19.43	19.42	19.42	19.42	19.43	19.43	19.43	19.44	19.37	18.63	19.45	
04/12/2019 16:00	18.58	19.36	19.45	19.45	19.44	19.43	19.43	19.42	19.42	19.42	19.42	19.42	19.43	19.43	19.36	18.58	19.45	
04/12/2019 17:00	18.54	19.36	19.45	19.45	19.44	19.43	19.43	19.43	19.42	19.42	19.42	19.42	19.42	19.43	19.36	18.54	19.45	
04/12/2019 18:00	18.48	19.35	19.45	19.45	19.44	19.44	19.43	19.43	19.43	19.42	19.42	19.42	19.42	19.42	19.36	18.48	19.45	
