Date  /    Time	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	Layer7	Layer8	Layer9	Layer10	Layer11	Layer12	Layer13	Layer14	Average	Minimun	Maximum	
04/11/2019 00:00	11.62	15.35	17.32	18.42	19.06	19.44	19.66	19.80	19.88	19.93	19.96	19.98	19.99	19.99	18.60	11.62	19.99	
04/11/2019 01:00	7.79	11.37	14.05	15.94	17.25	18.15	18.77	19.18	19.46	19.65	19.77	19.85	19.91	19.94	17.22	7.79	19.94	
04/11/2019 02:00	6.04	8.65	11.19	13.35	15.07	16.39	17.38	18.12	18.67	19.06	19.35	19.55	19.69	19.79	15.88	6.04	19.79	
04/11/2019 03:00	4.96	6.80	8.94	11.01	12.86	14.43	15.71	16.73	17.54	18.16	18.65	19.01	19.29	19.49	14.54	4.96	19.49	
04/11/2019 04:00	4.40	5.62	7.26	9.08	10.86	12.50	13.93	15.15	16.17	17.01	17.69	18.23	18.66	19.00	13.25	4.40	19.00	
04/11/2019 05:00	4.20	4.92	6.10	7.56	9.15	10.73	12.20	13.53	14.69	15.69	16.54	17.25	17.83	18.31	12.05	4.20	18.31	
04/11/2019 06:00	4.19	4.57	5.34	6.45	7.78	9.20	10.61	11.96	13.19	14.30	15.28	16.12	16.84	17.45	10.95	4.19	17.45	
04/11/2019 07:00	4.33	4.46	4.91	5.68	6.72	7.93	9.22	10.51	11.75	12.91	13.96	14.91	15.74	16.47	9.96	4.33	16.47	
04/11/2019 08:00	4.47	4.47	4.69	5.19	5.96	6.94	8.05	9.23	10.42	11.57	12.66	13.67	14.58	15.40	9.09	4.47	15.40	
04/11/2019 09:00	4.71	4.60	4.65	4.92	5.45	6.19	7.11	8.14	9.24	10.34	11.42	12.44	13.40	14.29	8.35	4.60	14.29	
04/11/2019 10:00	4.96	4.79	4.72	4.82	5.14	5.67	6.38	7.25	8.22	9.24	10.27	11.28	12.25	13.17	7.72	4.72	13.17	
04/11/2019 11:00	5.34	5.07	4.89	4.86	5.00	5.34	5.86	6.55	7.37	8.28	9.23	10.20	11.15	12.08	7.23	4.86	12.08	
04/11/2019 12:00	5.83	5.46	5.18	5.02	5.01	5.17	5.52	6.03	6.70	7.47	8.33	9.22	10.14	11.04	6.87	5.01	11.04	
04/11/2019 13:00	6.60	6.05	5.61	5.32	5.16	5.17	5.35	5.69	6.19	6.83	7.56	8.37	9.21	10.08	6.66	5.16	10.08	
04/11/2019 14:00	7.45	6.77	6.20	5.76	5.46	5.32	5.33	5.51	5.85	6.34	6.94	7.64	8.40	9.21	6.58	5.32	9.21	
04/11/2019 15:00	8.61	7.73	6.98	6.38	5.93	5.62	5.48	5.49	5.67	6.00	6.47	7.05	7.71	8.43	6.68	5.48	8.61	
04/11/2019 16:00	10.10	8.98	8.02	7.22	6.59	6.11	5.79	5.64	5.66	5.83	6.15	6.59	7.14	7.77	6.97	5.64	10.10	
04/11/2019 17:00	10.41	9.73	8.92	8.11	7.37	6.75	6.28	5.96	5.81	5.82	5.99	6.29	6.71	7.23	7.24	5.81	10.41	
04/11/2019 18:00	9.30	9.49	9.22	8.69	8.05	7.42	6.86	6.42	6.12	5.97	5.98	6.13	6.42	6.82	7.35	5.97	9.49	
04/11/2019 19:00	7.69	8.54	8.87	8.78	8.43	7.94	7.42	6.93	6.53	6.25	6.12	6.13	6.27	6.54	7.32	6.12	8.87	
04/11/2019 20:00	6.67	7.56	8.19	8.48	8.46	8.21	7.83	7.39	6.97	6.62	6.37	6.25	6.26	6.40	7.26	6.25	8.48	
04/11/2019 21:00	5.71	6.60	7.38	7.92	8.18	8.20	8.02	7.71	7.35	6.99	6.69	6.47	6.37	6.38	7.14	5.71	8.20	
04/11/2019 22:00	4.72	5.63	6.51	7.20	7.68	7.93	7.97	7.85	7.61	7.31	7.00	6.74	6.56	6.47	6.94	4.72	7.97	
04/11/2019 23:00	3.84	4.72	5.62	6.41	7.04	7.48	7.72	7.78	7.70	7.51	7.26	7.01	6.79	6.63	6.68	3.84	7.78	
04/12/2019 00:00	3.00	3.85	4.75	5.59	6.31	6.89	7.30	7.53	7.61	7.56	7.42	7.22	7.01	6.82	6.35	3.00	7.61	
