Date  /    Time	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	Layer7	Layer8	Layer9	Layer10	Layer11	Layer12	Layer13	Layer14	Average	Minimun	Maximum	
04/11/2019 00:00	10.48	14.11	16.23	17.54	18.38	18.92	19.28	19.52	19.68	19.78	19.86	19.90	19.94	19.96	18.11	10.48	19.96	
04/11/2019 01:00	6.76	9.76	12.28	14.25	15.74	16.86	17.69	18.31	18.77	19.11	19.36	19.54	19.67	19.77	16.28	6.76	19.77	
04/11/2019 02:00	5.34	7.21	9.28	11.25	12.96	14.41	15.60	16.56	17.32	17.94	18.42	18.79	19.08	19.31	14.53	5.34	19.31	
04/11/2019 03:00	4.49	5.66	7.19	8.85	10.49	12.01	13.37	14.54	15.55	16.39	17.10	17.68	18.16	18.55	12.86	4.49	18.55	
04/11/2019 04:00	4.11	4.79	5.81	7.09	8.49	9.91	11.27	12.52	13.66	14.66	15.54	16.30	16.95	17.50	11.33	4.11	17.50	
04/11/2019 05:00	4.04	4.37	5.00	5.89	6.98	8.19	9.44	10.66	11.82	12.90	13.89	14.77	15.55	16.25	9.98	4.04	16.25	
04/11/2019 06:00	4.12	4.24	4.57	5.14	5.92	6.88	7.94	9.04	10.15	11.23	12.25	13.20	14.08	14.87	8.83	4.12	14.87	
04/11/2019 07:00	4.32	4.29	4.41	4.73	5.24	5.94	6.78	7.72	8.72	9.73	10.72	11.69	12.60	13.45	7.88	4.29	13.45	
04/11/2019 08:00	4.49	4.41	4.42	4.55	4.85	5.32	5.94	6.69	7.53	8.43	9.36	10.29	11.19	12.06	7.11	4.41	12.06	
04/11/2019 09:00	4.75	4.61	4.53	4.54	4.67	4.95	5.38	5.93	6.61	7.37	8.19	9.04	9.90	10.75	6.52	4.53	10.75	
04/11/2019 10:00	5.02	4.85	4.72	4.64	4.66	4.78	5.04	5.42	5.93	6.53	7.22	7.97	8.76	9.56	6.08	4.64	9.56	
04/11/2019 11:00	5.41	5.19	4.99	4.84	4.76	4.77	4.89	5.12	5.46	5.92	6.47	7.10	7.79	8.51	5.80	4.76	8.51	
04/11/2019 12:00	5.93	5.63	5.36	5.14	4.98	4.89	4.89	4.99	5.19	5.50	5.91	6.41	6.99	7.62	5.67	4.89	7.62	
04/11/2019 13:00	6.76	6.30	5.90	5.58	5.32	5.14	5.03	5.01	5.09	5.27	5.54	5.91	6.37	6.89	5.72	5.01	6.89	
04/11/2019 14:00	7.64	7.09	6.60	6.17	5.81	5.53	5.32	5.19	5.15	5.20	5.35	5.59	5.92	6.33	5.92	5.15	7.64	
04/11/2019 15:00	8.86	8.15	7.51	6.96	6.48	6.08	5.76	5.52	5.36	5.29	5.31	5.43	5.64	5.93	6.31	5.29	8.86	
04/11/2019 16:00	10.40	9.51	8.71	8.00	7.37	6.84	6.39	6.02	5.74	5.55	5.45	5.44	5.53	5.70	6.90	5.44	10.40	
04/11/2019 17:00	10.58	10.14	9.58	8.94	8.31	7.71	7.16	6.69	6.29	5.98	5.75	5.62	5.58	5.63	7.43	5.58	10.58	
04/11/2019 18:00	9.22	9.56	9.57	9.32	8.92	8.43	7.91	7.41	6.94	6.54	6.21	5.96	5.80	5.73	7.68	5.73	9.57	
04/11/2019 19:00	7.43	8.27	8.80	9.01	8.97	8.75	8.41	8.00	7.57	7.14	6.75	6.42	6.16	5.98	7.69	5.98	9.01	
04/11/2019 20:00	6.43	7.15	7.83	8.32	8.59	8.65	8.56	8.33	8.02	7.66	7.29	6.93	6.61	6.34	7.62	6.34	8.65	
04/11/2019 21:00	5.47	6.14	6.85	7.46	7.93	8.22	8.36	8.35	8.22	7.99	7.70	7.38	7.06	6.76	7.42	5.47	8.36	
04/11/2019 22:00	4.48	5.14	5.87	6.54	7.12	7.58	7.90	8.09	8.14	8.08	7.92	7.70	7.44	7.16	7.08	4.48	8.14	
04/11/2019 23:00	3.61	4.23	4.94	5.63	6.26	6.81	7.27	7.61	7.83	7.93	7.93	7.83	7.67	7.46	6.64	3.61	7.93	
04/12/2019 00:00	2.79	3.36	4.05	4.73	5.39	6.00	6.53	6.98	7.33	7.58	7.72	7.77	7.73	7.62	6.11	2.79	7.77	
04/12/2019 01:00	2.19	2.65	3.27	3.91	4.55	5.17	5.75	6.27	6.72	7.08	7.35	7.52	7.61	7.61	5.55	2.19	7.61	
04/12/2019 02:00	1.71	2.07	2.60	3.18	3.78	4.39	4.98	5.53	6.04	6.48	6.84	7.13	7.33	7.45	4.96	1.71	7.45	
04/12/2019 03:00	1.25	1.55	2.02	2.54	3.09	3.66	4.24	4.80	5.33	5.82	6.25	6.62	6.91	7.14	4.37	1.25	7.14	
04/12/2019 04:00	0.94	1.15	1.54	1.99	2.48	3.00	3.55	4.09	4.63	5.14	5.61	6.04	6.41	6.71	3.81	0.94	6.71	
04/12/2019 05:00	0.67	0.82	1.14	1.53	1.96	2.42	2.92	3.44	3.96	4.47	4.96	5.43	5.84	6.21	3.27	0.67	6.21	
04/12/2019 06:00	0.55	0.60	0.85	1.15	1.52	1.92	2.37	2.84	3.34	3.83	4.33	4.80	5.25	5.66	2.79	0.55	5.66	
04/12/2019 07:00	0.47	0.46	0.63	0.87	1.16	1.51	1.89	2.32	2.77	3.24	3.72	4.19	4.65	5.08	2.35	0.46	5.08	
04/12/2019 08:00	0.34	0.32	0.46	0.65	0.88	1.17	1.49	1.86	2.27	2.70	3.15	3.61	4.06	4.50	1.96	0.32	4.50	
04/12/2019 09:00	0.18	0.18	0.30	0.46	0.65	0.89	1.16	1.48	1.83	2.22	2.63	3.06	3.50	3.94	1.61	0.18	3.94	
04/12/2019 10:00	0.18	0.11	0.19	0.31	0.47	0.66	0.89	1.16	1.46	1.80	2.18	2.57	2.98	3.41	1.31	0.11	3.41	
04/12/2019 11:00	0.32	0.14	0.16	0.23	0.34	0.49	0.67	0.89	1.15	1.44	1.77	2.13	2.51	2.91	1.08	0.14	2.91	
04/12/2019 12:00	0.70	0.36	0.26	0.25	0.29	0.38	0.51	0.68	0.90	1.14	1.43	1.74	2.09	2.45	0.94	0.25	2.45	
04/12/2019 13:00	0.95	0.60	0.44	0.35	0.32	0.35	0.42	0.54	0.70	0.90	1.14	1.41	1.72	2.05	0.85	0.32	2.05	
04/12/2019 14:00	1.18	0.82	0.64	0.51	0.42	0.39	0.41	0.47	0.58	0.73	0.91	1.14	1.40	1.69	0.81	0.39	1.69	
04/12/2019 15:00	1.38	1.03	0.84	0.69	0.57	0.49	0.45	0.46	0.51	0.61	0.75	0.93	1.14	1.39	0.80	0.45	1.39	
04/12/2019 16:00	1.29	1.07	0.95	0.83	0.71	0.61	0.54	0.50	0.51	0.55	0.64	0.77	0.94	1.14	0.79	0.50	1.29	
04/12/2019 17:00	1.47	1.18	1.06	0.96	0.85	0.74	0.65	0.58	0.55	0.55	0.59	0.67	0.80	0.95	0.83	0.55	1.47	
04/12/2019 18:00	1.57	1.27	1.17	1.07	0.97	0.87	0.77	0.69	0.62	0.59	0.59	0.63	0.71	0.82	0.88	0.59	1.57	
04/12/2019 19:00	1.61	1.33	1.24	1.17	1.08	0.98	0.89	0.80	0.72	0.66	0.63	0.63	0.66	0.73	0.94	0.63	1.61	
04/12/2019 20:00	1.65	1.37	1.30	1.24	1.17	1.09	1.00	0.91	0.82	0.75	0.70	0.67	0.67	0.70	1.00	0.67	1.65	
04/12/2019 21:00	1.47	1.29	1.28	1.26	1.22	1.16	1.09	1.00	0.92	0.84	0.78	0.73	0.70	0.70	1.03	0.70	1.47	
04/12/2019 22:00	1.49	1.26	1.25	1.25	1.24	1.20	1.15	1.09	1.01	0.94	0.86	0.80	0.76	0.73	1.07	0.73	1.49	
04/12/2019 23:00	1.37	1.18	1.19	1.22	1.23	1.22	1.19	1.14	1.08	1.02	0.95	0.88	0.82	0.78	1.09	0.78	1.37	
04/13/2019 00:00	0.94	0.91	1.02	1.11	1.16	1.19	1.19	1.17	1.13	1.08	1.02	0.96	0.90	0.85	1.04	0.85	1.19	
04/13/2019 01:00	0.44	0.51	0.72	0.89	1.02	1.09	1.14	1.15	1.14	1.11	1.07	1.02	0.96	0.91	0.94	0.44	1.15	
04/13/2019 02:00	0.18	0.19	0.41	0.63	0.81	0.94	1.03	1.08	1.11	1.11	1.09	1.06	1.02	0.97	0.83	0.18	1.11	
04/13/2019 03:00	0.09	0.00	0.17	0.38	0.57	0.74	0.87	0.97	1.03	1.07	1.08	1.07	1.05	1.01	0.72	0.00	1.08	
04/13/2019 04:00	-0.13	-0.21	-0.06	0.14	0.34	0.52	0.68	0.81	0.91	0.98	1.03	1.05	1.05	1.03	0.58	-0.21	1.05	
04/13/2019 05:00	-0.49	-0.49	-0.31	-0.11	0.10	0.29	0.47	0.63	0.76	0.86	0.94	0.99	1.01	1.02	0.40	-0.49	1.02	
04/13/2019 06:00	-0.70	-0.73	-0.56	-0.36	-0.15	0.05	0.24	0.42	0.57	0.70	0.81	0.89	0.95	0.98	0.22	-0.73	0.98	
04/13/2019 07:00	-0.87	-0.93	-0.79	-0.59	-0.38	-0.18	0.01	0.20	0.37	0.52	0.65	0.76	0.85	0.91	0.04	-0.93	0.91	
04/13/2019 08:00	-0.46	-0.80	-0.82	-0.72	-0.56	-0.39	-0.20	-0.02	0.16	0.33	0.48	0.61	0.71	0.80	-0.06	-0.82	0.80	
04/13/2019 09:00	0.47	-0.24	-0.54	-0.62	-0.59	-0.50	-0.36	-0.20	-0.04	0.13	0.29	0.43	0.56	0.67	-0.04	-0.62	0.67	
04/13/2019 10:00	1.75	0.72	0.11	-0.23	-0.39	-0.44	-0.40	-0.31	-0.18	-0.04	0.11	0.26	0.40	0.52	0.13	-0.44	1.75	
04/13/2019 11:00	2.60	1.60	0.90	0.39	0.03	-0.19	-0.29	-0.30	-0.25	-0.15	-0.03	0.10	0.24	0.37	0.36	-0.30	2.60	
04/13/2019 12:00	3.44	2.47	1.73	1.12	0.63	0.26	0.01	-0.13	-0.18	-0.17	-0.10	-0.01	0.10	0.22	0.67	-0.18	3.44	
04/13/2019 13:00	3.76	3.01	2.41	1.83	1.29	0.82	0.45	0.19	0.02	-0.07	-0.08	-0.05	0.02	0.11	0.98	-0.08	3.76	
04/13/2019 14:00	4.35	3.56	3.02	2.49	1.95	1.45	1.00	0.63	0.35	0.16	0.05	0.00	0.01	0.06	1.36	0.00	4.35	
04/13/2019 15:00	4.82	4.06	3.56	3.09	2.59	2.08	1.60	1.16	0.80	0.51	0.30	0.16	0.09	0.08	1.78	0.08	4.82	
04/13/2019 16:00	5.05	4.38	3.98	3.59	3.15	2.68	2.20	1.73	1.31	0.95	0.65	0.43	0.28	0.19	2.18	0.19	5.05	
04/13/2019 17:00	5.40	4.71	4.35	4.01	3.64	3.22	2.77	2.31	1.86	1.45	1.09	0.79	0.56	0.39	2.61	0.39	5.40	
04/13/2019 18:00	5.51	4.89	4.61	4.34	4.04	3.68	3.28	2.85	2.41	1.99	1.59	1.23	0.93	0.68	3.00	0.68	5.51	
04/13/2019 19:00	5.49	4.94	4.75	4.57	4.34	4.05	3.72	3.34	2.93	2.51	2.10	1.71	1.36	1.05	3.35	1.05	5.49	
04/13/2019 20:00	5.25	4.82	4.73	4.66	4.52	4.32	4.06	3.74	3.39	3.00	2.60	2.21	1.83	1.48	3.61	1.48	5.25	
04/13/2019 21:00	4.80	4.51	4.55	4.59	4.56	4.45	4.28	4.05	3.76	3.43	3.07	2.69	2.31	1.94	3.78	1.94	4.80	
04/13/2019 22:00	4.25	4.06	4.22	4.37	4.45	4.45	4.38	4.24	4.03	3.77	3.46	3.12	2.76	2.40	3.85	2.40	4.45	
04/13/2019 23:00	3.53	3.47	3.74	4.01	4.20	4.31	4.34	4.30	4.18	4.00	3.77	3.49	3.17	2.83	3.81	2.83	4.34	
04/14/2019 00:00	2.82	2.83	3.17	3.53	3.82	4.04	4.17	4.23	4.21	4.12	3.97	3.76	3.50	3.20	3.67	2.82	4.23	
04/14/2019 01:00	2.22	2.22	2.58	2.99	3.36	3.66	3.88	4.03	4.11	4.11	4.05	3.92	3.74	3.50	3.46	2.22	4.11	
04/14/2019 02:00	1.79	1.72	2.05	2.46	2.86	3.21	3.51	3.74	3.90	3.99	4.02	3.98	3.87	3.71	3.20	1.72	4.02	
04/14/2019 03:00	1.42	1.31	1.58	1.96	2.36	2.74	3.08	3.37	3.60	3.77	3.88	3.92	3.90	3.82	2.91	1.31	3.92	
04/14/2019 04:00	1.06	0.93	1.16	1.51	1.89	2.27	2.63	2.96	3.24	3.48	3.65	3.77	3.83	3.82	2.59	0.93	3.83	
04/14/2019 05:00	0.83	0.64	0.81	1.12	1.47	1.83	2.19	2.53	2.85	3.12	3.36	3.54	3.67	3.74	2.26	0.64	3.74	
04/14/2019 06:00	0.60	0.39	0.52	0.78	1.09	1.42	1.77	2.11	2.44	2.74	3.01	3.25	3.43	3.56	1.94	0.39	3.56	
04/14/2019 07:00	0.31	0.13	0.24	0.48	0.75	1.06	1.38	1.71	2.04	2.35	2.65	2.91	3.14	3.33	1.61	0.13	3.33	
04/14/2019 08:00	0.49	0.11	0.10	0.26	0.48	0.75	1.03	1.34	1.65	1.97	2.27	2.56	2.82	3.04	1.35	0.10	3.04	
04/14/2019 09:00	0.94	0.35	0.16	0.19	0.33	0.52	0.75	1.02	1.31	1.60	1.90	2.19	2.47	2.72	1.18	0.16	2.72	
04/14/2019 10:00	1.42	0.71	0.39	0.29	0.30	0.40	0.56	0.77	1.01	1.28	1.56	1.85	2.13	2.39	1.08	0.29	2.39	
04/14/2019 11:00	2.14	1.26	0.79	0.55	0.43	0.42	0.48	0.62	0.80	1.02	1.26	1.53	1.80	2.06	1.08	0.42	2.14	
04/14/2019 12:00	2.83	1.88	1.31	0.95	0.71	0.58	0.54	0.57	0.68	0.83	1.03	1.25	1.50	1.75	1.17	0.54	2.83	
04/14/2019 13:00	3.64	2.60	1.94	1.48	1.13	0.88	0.73	0.66	0.67	0.74	0.87	1.04	1.25	1.48	1.36	0.66	3.64	
04/14/2019 14:00	4.38	3.31	2.62	2.09	1.66	1.31	1.05	0.87	0.78	0.76	0.81	0.92	1.07	1.25	1.63	0.76	4.38	
04/14/2019 15:00	4.98	3.94	3.27	2.73	2.26	1.83	1.48	1.21	1.01	0.90	0.86	0.89	0.97	1.10	1.96	0.86	4.98	
04/14/2019 16:00	5.70	4.61	3.93	3.39	2.89	2.42	2.00	1.65	1.36	1.15	1.02	0.96	0.96	1.02	2.36	0.96	5.70	
04/14/2019 17:00	6.25	5.18	4.54	4.02	3.52	3.04	2.58	2.17	1.81	1.51	1.29	1.14	1.06	1.05	2.80	1.05	6.25	
04/14/2019 18:00	6.82	5.72	5.11	4.62	4.14	3.66	3.19	2.74	2.33	1.96	1.66	1.43	1.26	1.17	3.27	1.17	6.82	
04/14/2019 19:00	7.03	6.05	5.54	5.13	4.70	4.25	3.79	3.33	2.89	2.48	2.12	1.81	1.57	1.39	3.72	1.39	7.03	
04/14/2019 20:00	7.03	6.17	5.79	5.49	5.15	4.77	4.35	3.90	3.46	3.03	2.63	2.26	1.95	1.70	4.12	1.70	7.03	
04/14/2019 21:00	6.11	5.70	5.62	5.54	5.37	5.11	4.78	4.40	4.00	3.57	3.16	2.76	2.40	2.09	4.33	2.09	6.11	
04/14/2019 22:00	5.20	4.99	5.14	5.29	5.32	5.23	5.04	4.77	4.44	4.06	3.67	3.27	2.89	2.54	4.42	2.54	5.32	
04/14/2019 23:00	4.73	4.42	4.62	4.88	5.07	5.14	5.10	4.96	4.73	4.44	4.11	3.74	3.37	3.00	4.45	3.00	5.14	
04/15/2019 00:00	3.77	3.66	3.96	4.33	4.65	4.86	4.96	4.96	4.86	4.68	4.43	4.14	3.80	3.45	4.32	3.45	4.96	
04/15/2019 01:00	3.00	2.91	3.25	3.70	4.11	4.43	4.66	4.79	4.82	4.76	4.62	4.41	4.15	3.85	4.11	2.91	4.82	
04/15/2019 02:00	2.71	2.43	2.67	3.10	3.54	3.93	4.25	4.49	4.63	4.69	4.66	4.55	4.38	4.15	3.87	2.43	4.69	
04/15/2019 03:00	2.53	2.13	2.24	2.60	3.01	3.42	3.78	4.09	4.32	4.48	4.56	4.56	4.48	4.34	3.61	2.13	4.56	
04/15/2019 04:00	2.32	1.89	1.92	2.19	2.55	2.94	3.31	3.65	3.95	4.18	4.35	4.44	4.46	4.41	3.32	1.89	4.46	
04/15/2019 05:00	2.32	1.79	1.72	1.90	2.19	2.52	2.87	3.22	3.54	3.82	4.05	4.22	4.32	4.36	3.06	1.72	4.36	
04/15/2019 06:00	2.62	1.92	1.69	1.76	1.95	2.20	2.50	2.82	3.14	3.44	3.70	3.93	4.10	4.21	2.86	1.69	4.21	
04/15/2019 07:00	2.98	2.18	1.82	1.76	1.84	2.00	2.23	2.49	2.78	3.07	3.35	3.60	3.82	3.99	2.71	1.76	3.99	
04/15/2019 08:00	3.42	2.54	2.08	1.91	1.87	1.93	2.06	2.25	2.49	2.75	3.01	3.27	3.51	3.72	2.63	1.87	3.72	
04/15/2019 09:00	4.38	3.24	2.58	2.25	2.08	2.01	2.03	2.13	2.29	2.49	2.72	2.97	3.21	3.43	2.70	2.01	4.38	
04/15/2019 10:00	5.44	4.13	3.30	2.80	2.47	2.27	2.16	2.15	2.21	2.34	2.51	2.71	2.93	3.15	2.90	2.15	5.44	
04/15/2019 11:00	7.05	5.41	4.34	3.63	3.12	2.74	2.49	2.34	2.28	2.31	2.40	2.54	2.71	2.91	3.30	2.28	7.05	
