Hours	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	Layer7	Layer8	Layer9	Layer10	Layer11	Layer12	Layer13	Layer14	Average	Minimun	Maximum	
1	19.87	19.97	19.98	19.99	19.99	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	19.98	19.87	20.00	
2	19.78	19.94	19.95	19.97	19.98	19.98	19.99	19.99	20.00	20.00	20.00	20.00	20.00	20.00	19.97	19.78	20.00	
3	19.70	19.92	19.94	19.95	19.96	19.97	19.98	19.98	19.99	19.99	19.99	20.00	20.00	20.00	19.95	19.70	20.00	
4	19.62	19.91	19.92	19.93	19.94	19.95	19.96	19.97	19.98	19.98	19.99	19.99	19.99	20.00	19.94	19.62	20.00	
5	19.55	19.90	19.91	19.92	19.93	19.94	19.95	19.96	19.97	19.97	19.98	19.98	19.99	19.99	19.92	19.55	19.99	
6	19.48	19.89	19.91	19.91	19.92	19.93	19.94	19.95	19.95	19.96	19.97	19.98	19.98	19.98	19.91	19.48	19.98	
7	19.41	19.89	19.91	19.91	19.91	19.92	19.93	19.93	19.94	19.95	19.96	19.96	19.97	19.98	19.90	19.41	19.98	
8	19.34	19.89	19.90	19.91	19.91	19.91	19.92	19.93	19.93	19.94	19.95	19.95	19.96	19.97	19.89	19.34	19.97	
9	19.27	19.88	19.90	19.91	19.91	19.91	19.91	19.92	19.92	19.93	19.94	19.94	19.95	19.96	19.88	19.27	19.96	
10	19.21	19.88	19.90	19.90	19.91	19.91	19.91	19.91	19.92	19.92	19.93	19.94	19.94	19.95	19.87	19.21	19.95	
11	19.14	19.87	19.90	19.90	19.90	19.91	19.91	19.91	19.91	19.92	19.92	19.93	19.93	19.94	19.86	19.14	19.94	
12	19.07	19.86	19.90	19.90	19.90	19.90	19.91	19.91	19.91	19.91	19.92	19.92	19.93	19.93	19.85	19.07	19.93	
13	19.00	19.86	19.90	19.90	19.90	19.90	19.90	19.91	19.91	19.91	19.91	19.92	19.92	19.93	19.84	19.00	19.93	
14	18.94	19.85	19.90	19.90	19.90	19.90	19.90	19.90	19.91	19.91	19.91	19.91	19.92	19.92	19.83	18.94	19.92	
15	18.87	19.84	19.90	19.90	19.90	19.90	19.90	19.90	19.91	19.91	19.91	19.91	19.91	19.92	19.83	18.87	19.92	
16	18.81	19.83	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.91	19.91	19.91	19.91	19.91	19.82	18.81	19.91	
17	18.74	19.82	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.91	19.91	19.91	19.91	19.82	18.74	19.91	
18	18.68	19.81	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.91	19.91	19.91	19.81	18.68	19.91	
19	18.62	19.80	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.91	19.91	19.80	18.62	19.91	
20	18.55	19.79	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.91	19.80	18.55	19.91	
21	18.49	19.78	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.79	18.49	19.90	
22	18.43	19.77	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.79	18.43	19.90	
23	18.37	19.76	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.78	18.37	19.90	
24	18.31	19.75	19.89	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.78	18.31	19.90	
25	18.25	19.73	19.89	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.77	18.25	19.90	
26	18.19	19.72	19.89	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.77	18.19	19.90	
27	18.13	19.71	19.89	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.76	18.13	19.90	
28	18.07	19.69	19.89	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.76	18.07	19.90	
29	18.01	19.68	19.89	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.75	18.01	19.90	
30	17.95	19.66	19.89	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.75	17.95	19.90	
31	17.90	19.64	19.88	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.74	17.90	19.90	
32	17.84	19.63	19.88	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.73	17.84	19.90	
33	17.79	19.61	19.88	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.73	17.79	19.90	
34	17.73	19.59	19.88	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.72	17.73	19.90	
35	17.68	19.58	19.88	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.72	17.68	19.90	
36	17.62	19.56	19.87	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.71	17.62	19.90	
37	17.57	19.54	19.87	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.71	17.57	19.90	
38	17.52	19.52	19.87	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.70	17.52	19.90	
39	17.46	19.50	19.87	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.70	17.46	19.90	
40	17.41	19.48	19.86	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.69	17.41	19.90	
41	17.36	19.46	19.86	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.69	17.36	19.90	
42	17.31	19.43	19.86	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.68	17.31	19.90	
43	17.26	19.41	19.85	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.68	17.26	19.90	
44	17.21	19.39	19.85	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.67	17.21	19.90	
45	17.16	19.37	19.85	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.66	17.16	19.90	
46	17.12	19.34	19.84	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.66	17.12	19.90	
47	17.07	19.32	19.84	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.65	17.07	19.90	
48	17.02	19.30	19.83	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.65	17.02	19.90	
49	16.98	19.27	19.83	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.64	16.98	19.90	
50	16.93	19.25	19.82	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.64	16.93	19.90	
