Hours	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	Layer7	Layer8	Layer9	Layer10	Layer11	Layer12	Layer13	Layer14	Average	Minimun	Maximum	
1	19.84	19.96	19.97	19.98	19.99	19.99	19.99	20.00	20.00	20.00	20.00	20.00	20.00	20.00	19.98	19.84	20.00	
2	19.72	19.93	19.94	19.96	19.97	19.97	19.98	19.99	19.99	19.99	19.99	20.00	20.00	20.00	19.96	19.72	20.00	
3	19.62	19.91	19.92	19.93	19.95	19.95	19.96	19.97	19.98	19.98	19.99	19.99	19.99	19.99	19.94	19.62	19.99	
4	19.52	19.90	19.91	19.92	19.93	19.94	19.95	19.95	19.96	19.97	19.97	19.98	19.98	19.99	19.92	19.52	19.99	
5	19.43	19.89	19.91	19.91	19.92	19.92	19.93	19.94	19.95	19.95	19.96	19.97	19.97	19.98	19.90	19.43	19.98	
6	19.33	19.88	19.91	19.91	19.91	19.92	19.92	19.93	19.93	19.94	19.95	19.95	19.96	19.97	19.89	19.33	19.97	
7	19.24	19.88	19.90	19.91	19.91	19.91	19.91	19.92	19.92	19.93	19.94	19.94	19.95	19.95	19.87	19.24	19.95	
8	19.15	19.87	19.90	19.90	19.91	19.91	19.91	19.91	19.92	19.92	19.93	19.93	19.94	19.94	19.86	19.15	19.94	
9	19.06	19.86	19.90	19.90	19.90	19.91	19.91	19.91	19.91	19.91	19.92	19.92	19.93	19.93	19.85	19.06	19.93	
10	18.97	19.85	19.90	19.90	19.90	19.90	19.91	19.91	19.91	19.91	19.91	19.92	19.92	19.92	19.84	18.97	19.92	
11	18.88	19.84	19.90	19.90	19.90	19.90	19.90	19.91	19.91	19.91	19.91	19.91	19.92	19.92	19.83	18.88	19.92	
12	18.79	19.83	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.91	19.91	19.91	19.91	19.91	19.82	18.79	19.91	
13	18.71	19.82	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.91	19.91	19.91	19.91	19.81	18.71	19.91	
14	18.62	19.80	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.90	19.91	19.91	19.91	19.81	18.62	19.91	
