Hours	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	Layer7	Layer8	Layer9	Layer10	Layer11	Layer12	Layer13	Layer14	Average	Minimun	Maximum	
1	18.49	19.09	19.46	19.67	19.80	19.88	19.93	19.96	19.98	19.99	19.99	20.00	20.00	20.00	19.73	18.49	20.00	
2	17.89	18.36	18.80	19.15	19.41	19.60	19.73	19.82	19.89	19.93	19.96	19.97	19.99	19.99	19.46	17.89	19.99	
3	17.65	17.91	18.27	18.63	18.95	19.21	19.42	19.58	19.70	19.79	19.86	19.91	19.94	19.96	19.20	17.65	19.96	
4	17.56	17.66	17.91	18.21	18.51	18.79	19.05	19.26	19.44	19.58	19.69	19.78	19.84	19.89	18.94	17.56	19.89	
5	17.53	17.53	17.69	17.90	18.15	18.42	18.67	18.91	19.12	19.31	19.46	19.59	19.69	19.77	18.70	17.53	19.77	
6	17.53	17.47	17.56	17.70	17.89	18.11	18.34	18.57	18.80	19.00	19.19	19.35	19.49	19.60	18.47	17.47	19.60	
7	17.54	17.44	17.49	17.58	17.71	17.87	18.06	18.27	18.49	18.70	18.90	19.08	19.24	19.39	18.27	17.44	19.39	
8	17.56	17.42	17.45	17.50	17.59	17.71	17.85	18.03	18.22	18.41	18.61	18.80	18.98	19.15	18.09	17.42	19.15	
9	17.58	17.42	17.43	17.46	17.51	17.59	17.70	17.84	17.99	18.17	18.35	18.53	18.72	18.89	17.94	17.42	18.89	
10	17.60	17.42	17.42	17.44	17.47	17.52	17.60	17.70	17.82	17.96	18.12	18.29	18.46	18.64	17.82	17.42	18.64	
11	17.62	17.42	17.41	17.42	17.44	17.48	17.53	17.60	17.69	17.80	17.94	18.08	18.24	18.40	17.72	17.41	18.40	
12	17.64	17.42	17.41	17.42	17.43	17.45	17.48	17.53	17.60	17.69	17.79	17.91	18.05	18.19	17.64	17.41	18.19	
13	17.66	17.42	17.41	17.41	17.42	17.44	17.46	17.49	17.54	17.60	17.68	17.78	17.89	18.01	17.59	17.41	18.01	
14	17.68	17.42	17.41	17.41	17.42	17.43	17.44	17.46	17.49	17.54	17.60	17.67	17.76	17.87	17.54	17.41	17.87	
15	17.70	17.42	17.41	17.41	17.41	17.42	17.43	17.44	17.47	17.50	17.54	17.60	17.67	17.75	17.51	17.41	17.75	
16	17.72	17.42	17.41	17.41	17.41	17.42	17.42	17.43	17.45	17.47	17.50	17.54	17.59	17.66	17.49	17.41	17.72	
17	17.74	17.43	17.41	17.41	17.41	17.42	17.42	17.43	17.44	17.45	17.47	17.50	17.54	17.59	17.48	17.41	17.74	
18	17.76	17.43	17.41	17.41	17.41	17.41	17.42	17.42	17.43	17.44	17.45	17.48	17.50	17.54	17.47	17.41	17.76	
19	17.78	17.43	17.41	17.41	17.41	17.41	17.42	17.42	17.43	17.43	17.44	17.46	17.48	17.51	17.46	17.41	17.78	
20	17.80	17.43	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.43	17.44	17.45	17.46	17.48	17.46	17.41	17.80	
21	17.82	17.44	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.43	17.43	17.44	17.45	17.46	17.45	17.41	17.82	
22	17.85	17.44	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.43	17.43	17.44	17.45	17.45	17.41	17.85	
23	17.87	17.44	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.43	17.43	17.44	17.44	17.45	17.41	17.87	
24	17.89	17.44	17.41	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.43	17.43	17.43	17.44	17.46	17.41	17.89	
25	17.91	17.45	17.41	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.43	17.43	17.44	17.46	17.41	17.91	
26	17.93	17.45	17.41	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.43	17.43	17.43	17.46	17.41	17.93	
27	17.95	17.45	17.41	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.43	17.43	17.43	17.46	17.41	17.95	
28	17.98	17.46	17.41	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.43	17.43	17.43	17.46	17.41	17.98	
29	18.00	17.46	17.41	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.43	17.43	17.43	17.46	17.41	18.00	
30	18.02	17.47	17.41	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.42	17.43	17.43	17.46	17.41	18.02	
31	18.04	17.47	17.41	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.42	17.43	17.43	17.47	17.41	18.04	
32	18.06	17.47	17.41	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.42	17.43	17.43	17.47	17.41	18.06	
33	18.09	17.48	17.41	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.42	17.43	17.43	17.47	17.41	18.09	
34	18.11	17.48	17.41	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.42	17.43	17.43	17.47	17.41	18.11	
35	18.13	17.49	17.41	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.42	17.43	17.43	17.47	17.41	18.13	
36	18.15	17.49	17.41	17.41	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.43	17.43	17.47	17.41	18.15	
37	18.17	17.50	17.41	17.41	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.43	17.43	17.48	17.41	18.17	
38	18.20	17.50	17.41	17.41	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.43	17.43	17.48	17.41	18.20	
39	18.22	17.51	17.41	17.41	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.43	17.43	17.48	17.41	18.22	
40	18.24	17.51	17.41	17.41	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.43	17.43	17.48	17.41	18.24	
41	18.26	17.52	17.41	17.41	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.43	17.43	17.48	17.41	18.26	
42	18.29	17.53	17.42	17.41	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.43	17.43	17.49	17.41	18.29	
43	18.31	17.53	17.42	17.41	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.42	17.43	17.49	17.41	18.31	
