Hours	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	Layer7	Layer8	Layer9	Layer10	Layer11	Layer12	Layer13	Layer14	Average	Minimun	Maximum	
1	18.32	18.87	19.24	19.49	19.66	19.77	19.85	19.90	19.93	19.96	19.97	19.98	19.99	20.00	19.64	18.32	20.00	
2	17.76	18.11	18.49	18.83	19.10	19.33	19.50	19.63	19.73	19.81	19.86	19.90	19.93	19.96	19.28	17.76	19.96	
3	17.59	17.72	17.98	18.27	18.55	18.81	19.04	19.24	19.40	19.54	19.64	19.73	19.80	19.85	18.94	17.59	19.85	
4	17.54	17.54	17.69	17.89	18.11	18.35	18.58	18.80	19.00	19.18	19.33	19.47	19.58	19.67	18.62	17.54	19.67	
5	17.55	17.46	17.54	17.66	17.82	18.00	18.20	18.40	18.60	18.80	18.98	19.14	19.29	19.41	18.35	17.46	19.41	
6	17.56	17.43	17.47	17.53	17.63	17.76	17.91	18.08	18.26	18.44	18.62	18.80	18.96	19.11	18.11	17.43	19.11	
7	17.59	17.42	17.43	17.47	17.53	17.61	17.71	17.84	17.98	18.14	18.30	18.47	18.63	18.80	17.92	17.42	18.80	
8	17.61	17.42	17.42	17.44	17.47	17.52	17.59	17.67	17.78	17.90	18.04	18.19	18.34	18.49	17.78	17.42	18.49	
9	17.64	17.42	17.41	17.42	17.44	17.47	17.51	17.57	17.64	17.73	17.84	17.96	18.09	18.23	17.67	17.41	18.23	
10	17.67	17.42	17.41	17.42	17.43	17.44	17.47	17.50	17.55	17.61	17.69	17.78	17.89	18.00	17.59	17.41	18.00	
11	17.69	17.42	17.41	17.41	17.42	17.43	17.44	17.46	17.50	17.54	17.59	17.66	17.74	17.83	17.54	17.41	17.83	
12	17.72	17.42	17.41	17.41	17.41	17.42	17.43	17.44	17.46	17.49	17.53	17.57	17.63	17.70	17.50	17.41	17.72	
13	17.75	17.43	17.41	17.41	17.41	17.42	17.42	17.43	17.44	17.46	17.48	17.52	17.56	17.61	17.48	17.41	17.75	
14	17.78	17.43	17.41	17.41	17.41	17.41	17.42	17.42	17.43	17.44	17.46	17.48	17.51	17.54	17.47	17.41	17.78	
15	17.81	17.43	17.41	17.41	17.41	17.41	17.42	17.42	17.43	17.43	17.44	17.46	17.48	17.50	17.46	17.41	17.81	
16	17.84	17.44	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.43	17.43	17.44	17.46	17.47	17.46	17.41	17.84	
17	17.87	17.44	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.43	17.44	17.44	17.45	17.46	17.41	17.87	
18	17.90	17.45	17.41	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.43	17.43	17.44	17.44	17.46	17.41	17.90	
19	17.92	17.45	17.41	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.43	17.43	17.44	17.46	17.41	17.92	
20	17.95	17.46	17.41	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.43	17.43	17.43	17.46	17.41	17.95	
21	17.98	17.46	17.41	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.43	17.43	17.43	17.46	17.41	17.98	
22	18.01	17.47	17.41	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.43	17.43	17.43	17.46	17.41	18.01	
23	18.04	17.47	17.41	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.42	17.43	17.43	17.47	17.41	18.04	
24	18.07	17.48	17.41	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.42	17.43	17.43	17.47	17.41	18.07	
25	18.10	17.48	17.41	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.42	17.43	17.43	17.47	17.41	18.10	
26	18.13	17.49	17.41	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.42	17.43	17.43	17.47	17.41	18.13	
27	18.16	17.50	17.41	17.41	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.43	17.43	17.48	17.41	18.16	
28	18.19	17.50	17.41	17.41	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.43	17.43	17.48	17.41	18.19	
29	18.22	17.51	17.41	17.41	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.43	17.43	17.48	17.41	18.22	
30	18.25	17.52	17.41	17.41	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.43	17.43	17.48	17.41	18.25	
31	18.28	17.53	17.42	17.41	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.43	17.43	17.49	17.41	18.28	
32	18.31	17.54	17.42	17.41	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.42	17.43	17.49	17.41	18.31	
33	18.34	17.54	17.42	17.41	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.42	17.43	17.49	17.41	18.34	
34	18.37	17.55	17.42	17.41	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.42	17.43	17.49	17.41	18.37	
35	18.40	17.56	17.42	17.41	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.42	17.43	17.50	17.41	18.40	
36	18.43	17.57	17.42	17.41	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.42	17.43	17.50	17.41	18.43	
37	18.46	17.58	17.42	17.41	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.42	17.43	17.50	17.41	18.46	
38	18.49	17.59	17.42	17.41	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.42	17.43	17.51	17.41	18.49	
39	18.52	17.60	17.43	17.41	17.41	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.43	17.51	17.41	18.52	
40	18.55	17.61	17.43	17.41	17.41	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.43	17.51	17.41	18.55	
41	18.57	17.62	17.43	17.41	17.41	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.43	17.51	17.41	18.57	
42	18.60	17.63	17.43	17.41	17.41	17.41	17.41	17.41	17.41	17.42	17.42	17.42	17.42	17.43	17.52	17.41	18.60	
